time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z,rv_w,rv_x,rv_y,rv_z
88148885781476,1.2257234,-1.0163515,14.415261,-0.17776164,-0.48579022,0.72555465,-21.987501,44.8125,-42.2,0.9941931,-0.067705795,-0.03685998,-0.07508327
88148906856580,1.6286149,-1.0606186,12.899707,0.6977603,0.0707076,0.7496838,-21.8375,45.6125,-41.125,0.99482316,-0.062906966,-0.037251852,-0.07058272
88148926855799,2.1451654,-1.4001004,10.360024,1.357647,0.56627166,0.72204214,-21.5375,46.2,-40.475002,0.99608004,-0.05023768,-0.03232513,-0.06523662
88148946372153,2.2531416,-1.1189437,8.8447695,1.6757548,0.49113527,0.5100721,-21.112501,46.55,-40.1125,0.9973906,-0.034326945,-0.028190315,-0.05691187
88148966515538,1.5412769,-0.1683949,9.703494,1.3828452,0.092087865,-0.33032513,-20.5875,46.7,-40.037502,0.9981484,-0.01797089,-0.02707623,-0.0514174
88148991728403,-0.09900304,-0.03918247,11.420344,1.2901465,0.182954,-0.26618433,-20.0375,46.600002,-40.2625,0.9980628,0.008313338,-0.026008138,-0.055902872
88149011253246,-0.58953166,-0.78424764,12.077474,1.2137883,0.37079492,-0.017562363,-19.5375,46.3,-40.6875,0.99782133,0.020550638,-0.023103237,-0.05827934
88149032055486,-0.34516466,-1.320539,11.391032,1.0960442,0.56550807,0.21655156,-19.075,45.775,-41.4375,0.99765515,0.031664487,-0.01820281,-0.057881672
88149057477934,0.1689931,-0.1698904,9.1821575,0.9439388,0.5554288,0.37262753,-18.300001,44.3375,-43.8625,0.9976073,0.0412155,-0.013367117,-0.05387313
88149082249392,0.44685963,0.30837503,8.388339,0.7165444,0.34177884,0.3755291,-17.925001,43.5875,-44.9375,0.9976374,0.048008412,-0.010756744,-0.047950026
88149103700903,0.10139586,0.11006984,8.519944,6.108648E-4,-0.34742934,0.19394957,-17.575,42.8625,-45.8875,0.99769306,0.05114819,-0.0113518825,-0.043168385
88149123780486,-0.4764708,-0.7283154,9.46152,-0.18692462,-0.568257,0.39538223,-17.300001,42.2375,-46.725002,0.9978208,0.050526198,-0.015301211,-0.03958091
88149148901892,-0.39900318,-1.1473584,10.287642,-0.16203189,-0.63224506,0.64522594,-17.0875,41.7625,-47.375,0.99796355,0.04834277,-0.021041112,-0.03590341
88149168546319,0.2847459,-0.6439684,10.509277,-0.032223117,-0.54443324,0.79458237,-16.85,41.375,-47.925,0.9980737,0.046516478,-0.027673908,-0.030319424
88149190648142,0.9098708,0.062512495,9.666704,0.028099779,-0.41431904,0.8025236,-16.425001,41.0125,-48.4375,0.99810654,0.04598893,-0.03321524,-0.02377145
88149215654184,1.2044871,0.5377869,8.344071,-0.025961753,-0.3262018,0.73899364,-16.275,40.9875,-48.4625,0.9981095,0.0449827,-0.040679097,-0.009955281
88149235316528,1.253839,0.7076773,8.303693,-0.09590577,-0.25595233,0.70982486,-16.125,41.0,-48.45,0.99810916,0.04360918,-0.043160617,-0.0036803745
88149257409028,1.4590236,0.92662054,8.19452,-0.14278965,-0.1517999,0.64736396,-16.0,41.1125,-48.412502,0.9981294,0.04099964,-0.045114852,0.004625805
88149277142517,1.5921243,0.91615194,8.030014,-0.15546508,-0.09224058,0.50976664,-15.85,41.2625,-48.3625,0.99812573,0.040078122,-0.045700293,0.0070926948
88149297646007,1.7356937,0.6122635,8.106285,-0.16478078,-0.098196514,0.35414886,-15.6375,41.412502,-48.2375,0.99811465,0.0371888,-0.04737901,0.011803637
88149317930017,2.120639,0.32512477,8.1586275,-0.27030766,-0.2310596,-0.056963142,-15.400001,41.55,-48.0,0.99808615,0.034566812,-0.049589705,0.013041544
88149338295538,2.0033908,0.17736799,8.962915,-0.20983206,-0.19501857,-0.22204934,-15.175,41.675,-47.725002,0.9980836,0.03259186,-0.051502533,0.010695617
88149359538246,1.3591232,-0.19890338,10.374083,0.020005822,-0.009162972,-0.28909177,-15.0125,41.787502,-47.4875,0.99810827,0.032929588,-0.05149458,0.006625619
88149382742882,1.2490535,-0.027218357,10.110573,0.3101666,0.23976442,-0.3035998,-14.8625,41.95,-47.037502,0.99814385,0.036168672,-0.048948523,0.0021699693
88149408793350,1.2089736,0.2868396,9.242277,0.5720749,0.2773326,-0.33735007,-14.837501,41.925,-46.9625,0.9981129,0.041381296,-0.045362223,-7.117861E-4
88149433248975,0.95443714,0.5688936,8.49781,0.4317287,0.046425723,-0.32391104,-14.85,41.825,-47.0125,0.99777555,0.051396094,-0.042251498,-0.004139606
88149459620017,1.0169497,0.59940207,8.654242,0.18600832,-0.18356487,-0.30543238,-15.1125,41.5,-47.350002,0.99761206,0.05287223,-0.044059265,-0.0057890164
88149483193038,1.1991032,0.27936205,9.537193,-0.066431545,-0.22556181,-0.30436337,-15.25,41.2625,-47.7,0.997553,0.05180645,-0.046014845,-0.009319012
88149504031840,1.1503495,0.026021946,10.027422,-0.23335035,-0.062308207,-0.27458373,-15.3875,41.05,-47.8875,0.9976238,0.049295854,-0.046179377,-0.0135690365
88149524098350,1.1638091,-0.12532409,9.936794,-0.31383178,0.101250835,-0.17944153,-15.5625,40.8875,-47.95,0.9978008,0.04599541,-0.044877406,-0.016249573
88149544432673,1.3746766,0.07836494,10.180862,-0.33826637,0.15195261,-0.08124501,-15.75,40.787502,-48.100002,0.9980011,0.042674184,-0.04328163,-0.017304301
88149564400382,1.4527425,0.38285163,10.395917,-0.29016078,0.18707734,-0.042455103,-15.8625,40.7375,-48.15,0.9981768,0.04010767,-0.04139696,-0.017910259
88149584410434,1.4183456,0.49351966,10.095319,-0.22556181,0.18341215,-0.06963859,-15.962501,40.787502,-47.95,0.99832433,0.03791045,-0.039795488,-0.018103074
88149604998975,1.608575,0.053539407,10.697712,-0.29092434,-0.114689864,-0.34697118,-16.0,40.8625,-47.8,0.9984116,0.035446875,-0.039598413,-0.018703068
88149634467621,1.3405789,-0.5844469,11.806187,-0.16737695,-0.30008733,-0.38988444,-16.1625,41.15,-47.287502,0.99826163,0.03015186,-0.04405487,-0.024975538
88149658616527,1.3325031,-1.1617154,12.532708,0.028099779,-0.09498947,-0.20433427,-16.2625,41.275,-47.15,0.9980452,0.02935861,-0.046552345,-0.029610798
88149678049757,1.3040884,-1.3271192,12.659826,0.20540328,0.3480402,0.0070249448,-16.3875,41.375,-47.1125,0.9979171,0.030396244,-0.0455265,-0.034129515
88149700099288,1.3692927,-0.9939187,11.511571,0.27992877,0.70600694,0.1311832,-16.5125,41.4625,-47.025,0.99799114,0.033005293,-0.040102094,-0.036278713
88149720125121,1.5613167,-0.34636107,10.022338,0.20250167,0.8203914,0.08567379,-16.6,41.5125,-46.975002,0.9982134,0.035575904,-0.03265512,-0.035185482
88149740992725,1.5400804,0.4319045,8.779864,-0.038789913,0.6863066,-0.08124501,-16.612501,41.5125,-47.100002,0.9984429,0.036512084,-0.025136705,-0.03386412
88149761328559,1.6534405,0.81834537,8.725727,-0.36850417,0.55985755,-0.32330018,-16.575,41.475002,-47.2,0.9986564,0.034278072,-0.019060176,-0.033869177
88149781089027,1.6534405,0.81834537,8.725727,-0.6185006,0.5221367,-0.5264127,-16.4625,41.4375,-47.287502,0.99879736,0.02926609,-0.0136549715,-0.0368913
88149801401996,0.84017986,-0.36610186,9.697811,-0.6354521,0.41126472,-0.61452997,-16.3375,41.45,-47.287502,0.99879616,0.020162676,-0.0068967026,-0.044183385
88149825145538,0.5479564,-0.79441714,9.889536,-0.40530878,0.22327107,-0.5890264,-15.9375,41.65,-47.1375,0.99874085,0.018045776,-0.0056019505,-0.046473376
88149852345225,0.33918262,-0.29850462,9.239286,0.274431,-0.056046844,-0.36544985,-15.775001,41.7375,-46.9375,0.99822,0.020680742,-0.005738603,-0.055643447
88149875313402,0.41306102,0.10199407,8.393125,0.3930915,-0.107817635,-0.2828304,-15.7625,41.8,-46.7,0.997997,0.024159748,-0.007129366,-0.058029894
88149895964861,0.3807579,0.42382872,8.019844,0.28985533,-0.17043127,-0.22953244,-15.837501,41.825,-46.55,0.99781096,0.026262429,-0.009278949,-0.0599789
88149917539132,0.5075775,0.5135596,8.243873,0.10567961,-0.2244928,-0.18448116,-16.0125,41.850002,-46.425,0.997663,0.026575187,-0.011640286,-0.061860748
88149937730381,0.67477596,0.4103691,8.649157,-0.024740024,-0.23441936,-0.1517999,-16.2125,41.850002,-46.350002,0.997562,0.025890132,-0.013918692,-0.06329355
88149958645902,0.83778703,0.3164508,9.108579,-0.004734202,-0.25686863,-0.098654665,-16.675001,41.65,-46.475002,0.997464,0.025328342,-0.016471807,-0.06444226
88149978702465,0.9622138,0.3065804,9.370592,0.07803798,-0.26389357,-0.07055488,-16.9375,41.5,-46.575,0.9973523,0.025381822,-0.019057833,-0.065429464
88150000559756,1.198505,0.3475575,9.4070835,0.10415245,-0.24770567,-0.06368265,-17.175001,41.3625,-46.7375,0.99724257,0.026163517,-0.021739487,-0.065955944
88150026583871,1.4315062,0.5691927,9.787243,0.0481056,-0.23518294,-0.08933897,-17.3875,41.275,-46.912502,0.99711514,0.026786854,-0.02416283,-0.066783614
88150051395798,1.14018,0.51176494,10.42164,0.0108428495,-0.20479241,-0.1075122,-17.575,41.225002,-46.975002,0.9968358,0.02693636,-0.028012412,-0.069340885
88150077492309,0.71665037,0.30717862,10.660624,0.15195261,-0.010690134,0.016493348,-17.9625,41.15,-46.975002,0.9966981,0.027968759,-0.028569149,-0.07067229
88150100877777,0.2865405,0.18544376,10.629815,0.26190826,0.038026333,0.21823144,-18.1375,41.100002,-47.037502,0.99665564,0.030010683,-0.028600166,-0.07041976
88150120402673,0.19172491,0.21714866,10.402797,0.3517054,0.033139415,0.4413498,-18.2,41.0125,-47.1375,0.9967573,0.033149455,-0.028637655,-0.06749783
88150142573611,0.55453664,0.60717875,10.130912,0.37003133,-0.009162972,0.5508473,-18.25,40.9375,-47.25,0.99696314,0.036612548,-0.029055811,-0.062288165
88150162223142,1.1422737,1.1632109,10.116854,0.30802858,-0.049327333,0.5041162,-18.225,40.8375,-47.350002,0.9971605,0.039498564,-0.029784406,-0.05677792
88150182984756,1.4383855,1.3441681,10.813764,0.24190246,-0.13713914,0.38957903,-18.112501,40.6875,-47.45,0.99731845,0.041866913,-0.03126073,-0.051243514
88150203171631,1.4081762,0.98584294,11.408679,0.20876303,-0.22250749,0.24388777,-17.987501,40.525,-47.575,0.99736196,0.043658018,-0.033399783,-0.047408093
88150224016371,0.7193423,0.6418747,11.979965,0.22601996,-0.24006985,0.12843432,-17.85,40.3625,-47.825,0.99727726,0.045659848,-0.03602833,-0.04533528
88150244478715,0.44895336,0.4728816,11.608181,0.33887723,-0.18707734,0.17608178,-17.7,40.2125,-48.025,0.9970937,0.048616026,-0.03829955,-0.044427387
88150264843975,1.3956138,0.39960137,10.027422,0.42485645,-0.13209951,0.27214026,-17.575,40.0875,-48.1125,0.9969209,0.052470073,-0.039992515,-0.042382136
88150284390017,1.8146569,0.5165506,9.203693,-0.23915356,-0.20280711,0.018631376,-17.487501,39.95,-48.2125,0.99684095,0.054740198,-0.041772135,-0.039581474
88150309528038,1.3316058,0.34337005,9.804292,-0.5905535,-0.18371758,-0.05650499,-17.35,39.7,-48.350002,0.9969232,0.052447066,-0.043679345,-0.038542915
88150329184027,0.5919245,-0.19202402,11.078469,-0.57848895,-0.046273008,0.022601997,-17.362501,39.6875,-48.3625,0.9971926,0.043540277,-0.04559257,-0.040403616
88150352795694,0.030209387,-1.1476575,10.900205,-0.25305074,0.07971785,0.25809038,-17.4125,39.7125,-48.350002,0.9975153,0.038519327,-0.04450798,-0.03871034
88150376224288,0.20249261,-0.6044868,9.671789,0.13423753,0.11194097,0.5051852,-17.425001,39.75,-48.3,0.9976307,0.04129352,-0.044336736,-0.03259003
88150396926735,0.3912265,0.2961118,8.735896,0.37293294,-0.0070249448,0.6082686,-17.3125,39.7625,-48.2125,0.9976081,0.045219924,-0.045766927,-0.025270913
88150417647360,0.70199436,1.0387841,8.225627,0.4159989,-0.14874557,0.54687667,-17.1625,39.8,-48.162502,0.9974844,0.048315793,-0.048028734,-0.019589148
88150437540954,0.86171526,1.224527,8.060522,0.284663,-0.23014331,0.342237,-17.0,39.825,-48.175,0.9973573,0.049437422,-0.05060076,-0.016550321
88150457346631,0.9699905,0.67208403,8.393125,0.06383537,-0.23426664,0.1452331,-16.8375,39.8375,-48.2125,0.9973252,0.04844623,-0.05224481,-0.016308611
88150479687881,0.9514461,0.13100705,8.8492565,-0.22235478,0.043982264,0.08185588,-16.4625,39.8375,-48.2625,0.9974218,0.0461647,-0.05233572,-0.016721852
88150501675329,0.57427746,-0.061016977,9.320343,-0.20295982,0.15118903,0.15134175,-16.275,39.8,-48.2625,0.9975964,0.043808278,-0.051109865,-0.016433312
88150521608298,0.50428736,0.36370903,9.237492,-0.11102467,0.20204352,0.21059564,-16.0875,39.7625,-48.2125,0.99777126,0.042425536,-0.049310815,-0.014867041
88150543331840,0.53180486,0.6658029,9.121739,0.008399391,0.13713914,0.18921536,-16.0,39.8,-48.275,0.99788743,0.04216094,-0.047870714,-0.01231217
88150563924235,0.50129634,0.7399804,9.079565,0.12996148,0.03649917,0.12064579,-15.9125,39.8125,-48.3625,0.9978874,0.04320858,-0.04748943,-0.0099253
88150584881215,0.50458646,0.7298109,8.885149,0.18875721,0.005345067,0.07177661,-15.85,39.8125,-48.3,0.9978222,0.04489666,-0.047524404,-0.008748278
88150604558298,0.62721866,0.7746763,8.704491,0.12873976,0.021074835,0.05497783,-15.8,39.825,-48.1875,0.9977763,0.04615243,-0.047408726,-0.008053867
88150624381319,0.8153543,0.73579293,8.903693,-6.108648E-4,-0.009315688,0.024281874,-15.7375,39.850002,-48.1375,0.9977762,0.046226464,-0.04746134,-0.00729568
88150645605225,0.84436727,0.5766702,9.537791,-0.07651082,-0.10140356,-0.09040799,-15.650001,39.8625,-48.1375,0.9977873,0.045370597,-0.048095237,-0.00699432
88150665497569,1.055833,0.34666017,10.124033,-0.0061086477,-0.082161315,-0.13194679,-15.5,39.8375,-48.2125,0.99777055,0.044571552,-0.049105357,-0.007489191
88150694028350,1.0989038,0.3792624,10.520044,0.083383046,-0.014660755,-0.14187334,-15.35,39.7625,-48.4,0.99766326,0.045341525,-0.0499651,-0.010757436
88150718449444,1.340878,0.4761717,10.219148,0.12064579,0.075289086,-0.16203189,-15.337501,39.7,-48.45,0.9976272,0.0465437,-0.049106717,-0.012734572
88150738109131,1.518545,0.465404,10.133903,0.045814857,0.15057817,-0.2254091,-15.325,39.675,-48.55,0.99765897,0.046871025,-0.047497276,-0.01495598
88150759998923,1.6328024,0.30239296,10.112368,-0.06444623,0.20967934,-0.27962336,-15.3125,39.675,-48.600002,0.9977512,0.04614597,-0.045247596,-0.017770771
88150780962673,1.2329018,0.26051855,10.126724,-0.13942988,0.24251331,-0.33536476,-15.2875,39.6375,-48.6125,0.9978656,0.04479099,-0.04269356,-0.020861527
88150802231579,0.80787677,-0.010169496,10.212567,-0.15073088,-0.023976443,-0.42485645,-15.3625,39.6125,-48.600002,0.9979335,0.04328628,-0.04135464,-0.0233413
88150826927256,0.66341007,-0.421735,11.059327,7.6358096E-4,-0.14492767,-0.3187187,-15.6375,39.6375,-48.575,0.99788105,0.04220792,-0.0417946,-0.026553871
88150851829444,1.6743777,-0.15523437,10.444073,0.20265439,-0.21655156,-0.23365578,-15.7875,39.6125,-48.475002,0.9973025,0.046363585,-0.046558905,-0.032718033
88150871512777,2.3327029,0.401396,9.649655,0.23655738,-0.18784092,-0.29184064,-15.95,39.55,-48.4,0.99708766,0.046949804,-0.047388602,-0.036963124
88150893587517,2.5555346,0.613759,9.078669,0.0065667965,-0.076358095,-0.46364638,-16.1,39.4875,-48.3625,0.9970111,0.043868612,-0.046238713,-0.0436616
88150913672360,1.9441684,0.18095721,9.071191,-0.38988444,0.09483676,-0.672104,-16.325,39.4375,-48.375,0.997015,0.03710014,-0.043300733,-0.05205551
88150935597777,1.2176477,-0.59611195,9.656535,-0.8659008,0.42653632,-0.6217076,-16.65,39.4375,-48.375,0.9970202,0.029211812,-0.038827572,-0.059915513
88150955157985,0.6562316,-1.387239,10.152746,-0.77579826,0.49556404,-0.3846921,-16.9125,39.475002,-48.375,0.9970677,0.02172783,-0.033308424,-0.06537957
88150977041944,0.13190435,-1.7599211,10.237392,-0.50029826,0.37934703,-0.08567379,-17.125,39.5625,-48.225002,0.99722075,0.01703045,-0.029273978,-0.066360906
88150997825902,-0.08973085,-1.3549358,10.213465,-0.12034036,0.1838703,0.15851942,-17.325,39.6875,-47.975002,0.9974295,0.015985154,-0.027611107,-0.06416
88151019000277,0.70378894,0.15134603,9.331111,0.20967934,0.075289086,0.27336198,-17.4625,40.025,-47.575,0.9975943,0.018136792,-0.02719649,-0.061131883
88151043906058,0.98644114,0.55722857,8.163414,0.32284203,0.055283263,0.27000225,-17.487501,40.225002,-47.3625,0.9977251,0.021214612,-0.02695212,-0.058035545
88151064563402,1.2457633,0.67477596,7.430013,0.19700389,-0.026572619,0.2283107,-17.4,40.4,-47.225002,0.997852,0.02260807,-0.027541673,-0.05497056
88151084707152,1.5451652,0.6879365,7.7407813,-0.05421425,-0.17409647,0.16340633,-17.225,40.537502,-47.100002,0.9979718,0.02149443,-0.02955791,-0.052121736
88151104807412,1.8340986,0.567099,8.8956175,-0.23548837,-0.33597562,0.07055488,-17.075,40.625,-46.9375,0.99800867,0.018811507,-0.033060554,-0.050317556
88151125025641,2.0832512,0.36400816,10.103095,-0.23121232,-0.40530878,-0.043218683,-17.0,40.6875,-46.8375,0.9979054,0.016683934,-0.036749855,-0.05055686
88151147222360,1.6534405,0.2416751,10.6154585,0.08093958,-0.1632536,-0.15577053,-17.025,40.725002,-46.850002,0.99770236,0.016106807,-0.03959559,-0.052561726
88151169190641,1.5376877,0.2653042,9.907183,0.16249003,0.003817905,-0.1386663,-17.0875,40.7375,-46.8375,0.9974947,0.017210184,-0.040776055,-0.055186182
88151195489391,1.2687942,0.3361916,9.518648,0.100487255,0.06902772,-0.13500112,-17.237501,40.7,-46.7625,0.9973038,0.019474328,-0.039921846,-0.058414057
88151215131058,0.9553344,0.35653058,10.124033,-0.014355322,0.023823727,-0.120034926,-17.4125,40.6875,-46.5875,0.99726117,0.019010859,-0.03984282,-0.05934099
88151235947100,0.622433,0.2976073,11.080863,0.08460477,0.014966187,0.08933897,-17.675001,40.7125,-46.4625,0.99723303,0.0187667,-0.039792117,-0.0599231
88151256567464,0.5829514,0.2757728,11.624632,0.3272708,0.03497201,0.24770567,-17.9,40.725002,-46.4375,0.99725735,0.020480182,-0.039758585,-0.0589707
88151277913246,0.8742776,0.4142574,11.509477,0.5380192,0.057879437,0.35567603,-17.987501,40.662502,-46.4,0.99731356,0.024457969,-0.03970833,-0.056486774
88151298503975,1.2233306,0.7193423,10.907383,0.5722276,0.055588696,0.37751442,-17.95,40.5625,-46.412502,0.9973723,0.030123431,-0.039493095,-0.052737765
88151319407933,1.4787644,1.0456635,10.395319,0.44165525,-0.018936807,0.30237806,-17.862501,40.425,-46.5125,0.9974326,0.034854446,-0.039693695,-0.04835156
88151340064287,1.4243277,1.2693924,10.798809,0.32895067,-0.05054906,0.17883067,-17.75,40.2625,-46.7,0.99742717,0.03832872,-0.04043145,-0.045113694
88151360667725,0.9711869,1.0552348,11.625529,0.33215773,-0.04367683,0.10430516,-17.625,40.125,-46.9,0.99735206,0.041467268,-0.041106712,-0.043354042
88151380866214,0.5300102,0.58654064,12.228221,0.41737336,3.054324E-4,0.13607013,-17.4375,39.95,-47.175,0.9972246,0.044885207,-0.041590523,-0.04240973
88151401961423,0.30508488,0.2961118,11.85165,0.56046844,0.09789108,0.28634286,-16.9,39.375,-47.7625,0.9970489,0.04983191,-0.041310657,-0.04127493
88151427708662,0.9212367,0.41784665,10.721341,0.5988002,0.065667965,0.3500255,-16.6875,39.100002,-48.1125,0.99689406,0.055814706,-0.040846158,-0.03766319
88151447471683,1.2110673,0.762114,10.3017,0.46975502,-0.03604102,0.2924515,-16.475,38.775,-48.45,0.9966712,0.062404204,-0.04172252,-0.03180465
88151471760902,0.15523437,0.3912265,10.013963,0.09560034,0.06658426,0.049327333,-16.325,38.5,-48.787502,0.9965616,0.06499474,-0.04123466,-0.030667359
88151494386370,-0.12053844,-0.04875376,9.267103,0.02687805,0.1800524,0.10033454,-16.2125,38.287502,-49.05,0.9966441,0.06514405,-0.03946233,-0.0299933
88151514419079,-0.15014961,-0.19262223,8.549256,0.014660755,0.14202607,0.18341215,-16.075,38.0625,-49.3125,0.9967538,0.065169886,-0.038655065,-0.027211824
88151536635433,-0.30059835,-0.0738784,8.495118,-0.0033597562,-0.021685699,0.20494513,-15.962501,37.8875,-49.537502,0.9968139,0.064940944,-0.03957338,-0.024055596
88151556307464,-0.5051847,0.04366901,9.0233345,-0.015424335,-0.16233732,0.21899502,-15.837501,37.7625,-49.75,0.99681026,0.06463655,-0.04151342,-0.021635393
88151581544600,-0.45792642,0.076570325,9.274879,0.07834341,-0.043524116,0.399811,-15.5625,37.5625,-49.9875,0.9967826,0.06486082,-0.042824242,-0.019585343
88151602803245,-0.05503492,0.14057833,8.882756,0.081397735,0.022754714,0.46700612,-15.462501,37.5625,-50.0125,0.9967907,0.065382525,-0.043280426,-0.016130842
88151635137933,0.77377903,0.32542387,8.283952,0.045051277,0.040775225,0.45020735,-15.2,37.5625,-49.95,0.9968667,0.06592622,-0.04313541,-0.0070642754
88151667057256,0.62721866,0.5309075,8.69821,0.04138609,-0.011759147,0.35781404,-15.025001,37.575,-49.9875,0.9968694,0.06602684,-0.04339664,-0.0029398424
88151701302725,0.506082,0.63978094,8.8746805,0.12690715,-0.016187917,0.31810784,-14.712501,37.55,-49.9375,0.9967495,0.067287326,-0.044132937,0.003892876
88151739673245,0.88354975,0.7692925,8.848359,0.11209369,0.09575305,0.24923283,-14.337501,37.4875,-49.95,0.99655885,0.069885656,-0.043600127,0.009243553
88151776277152,1.218545,1.006481,8.799605,-0.11835505,0.062308207,0.093309596,-13.9375,37.4375,-50.075,0.996639,0.06882352,-0.042276,0.01366697
88151800806422,1.3085749,1.0429716,9.514461,-0.10140356,0.024587307,-0.02932151,-13.712501,37.4,-50.1125,0.9967251,0.06764722,-0.041897688,0.0144074
88151828756214,1.0250254,0.59760743,10.527822,0.039095346,-0.040622506,-0.12935062,-13.3875,37.3375,-50.100002,0.99671656,0.06773891,-0.042077094,0.014040209
88151861194600,1.2460624,1.099502,9.891031,0.2941314,-0.029474225,-0.20021093,-13.3,37.350002,-50.075,0.99637955,0.07269387,-0.042739954,0.010800291
88151889021110,1.434198,1.4210376,9.6738825,0.15851942,3.054324E-4,-0.2953531,-13.3,37.3125,-50.0625,0.99627143,0.07459475,-0.04251185,0.008459922
88151921365016,1.07348,0.7319046,11.15833,-0.2837467,-0.014660755,-0.58307046,-13.375,37.275,-50.1375,0.99656785,0.07138724,-0.04190978,-0.0
88151958508141,0.38464624,0.26470602,12.673585,-0.054061532,0.031001387,-0.42943794,-13.6625,37.2375,-50.100002,0.9967444,0.06825805,-0.041321296,-0.011574815
88152006173089,1.8553349,1.1467602,9.602397,0.08155045,0.49617493,-0.2770272,-14.2375,37.0875,-50.2625,0.9965324,0.07332708,-0.03484311,-0.018230211
88152056967724,1.3429717,0.62721866,8.943773,-0.66706437,0.2904662,-0.7812961,-14.375,36.975002,-50.3375,0.99742657,0.059991695,-0.02038282,-0.033554245
88152084869391,0.389731,-0.59312093,10.619347,-0.700051,0.26633704,-0.80878496,-14.525001,37.125,-50.15,0.9975363,0.05279947,-0.017496983,-0.042749196
88152115787412,-1.2987045,-1.5960127,11.301301,-0.33841908,0.3741547,-0.4477639,-14.6375,37.275,-50.0,0.9973654,0.04848866,-0.00965591,-0.05308403
88152146698349,-1.2358929,-0.9550353,10.063913,0.30421066,0.28420484,0.2612974,-14.712501,37.5875,-49.537502,0.99735117,0.051146295,-0.006955866,-0.051248163
88152166829026,0.11216356,0.67447686,7.4401827,0.33078328,0.048411034,0.38866273,-14.712501,37.725002,-49.412502,0.9974254,0.054552324,-0.0063535227,-0.0461127
88152186886422,0.7935198,1.2628121,7.3663044,0.15500695,-0.22556181,0.32391104,-14.712501,37.8625,-49.2375,0.9975504,0.056226466,-0.008263899,-0.04078482
88152220244183,1.0399805,0.9182457,9.466604,-0.22601996,-0.48884454,0.003817905,-14.7,38.05,-49.0125,0.9977754,0.05298681,-0.017301718,-0.0365704
88152247008401,1.087837,0.721436,10.086346,-0.19471315,-0.40561423,-0.0481056,-14.7625,38.1125,-48.912502,0.9977545,0.050855435,-0.021226902,-0.03806637
88152280232672,1.3776677,0.75344,9.549456,0.08353576,-0.09529491,-0.032070402,-14.875,38.1125,-48.95,0.99755234,0.05094911,-0.024926268,-0.040892642
88152300814547,0.98853487,0.9451649,9.000303,0.14294235,-0.036651887,-0.022449281,-14.9375,38.1125,-49.025,0.99746656,0.05225094,-0.025408812,-0.04104468
